gender,province,education,income_family,n
Female,Manitoba,Below bachelor,"$50,000 to $74,999",4
Female,Manitoba,Below bachelor,"$75,000 to $99,999",3
Female,Manitoba,Below bachelor,"Less than $25,000",3
Female,Manitoba,Below high school,"$100,000 to $ 124,999",5
Female,Manitoba,Below high school,"$125,000 and more",10
Female,Manitoba,Below high school,"$25,000 to $49,999",33
Female,Manitoba,Below high school,"$50,000 to $74,999",20
Female,Manitoba,Below high school,"$75,000 to $99,999",9
Female,Manitoba,Below high school,"Less than $25,000",32
Female,Manitoba,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",14
Female,Manitoba,High school diploma or a high school equivalency certificate,"$125,000 and more",23
Female,Manitoba,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",44
Female,Manitoba,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",25
Female,Manitoba,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",23
Female,Manitoba,High school diploma or a high school equivalency certificate,"Less than $25,000",25
Female,Manitoba,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",18
Female,Manitoba,"Technical, community college, CEGEP, College Classique","$125,000 and more",33
Female,Manitoba,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",54
Female,Manitoba,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",37
Female,Manitoba,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",22
Female,Manitoba,"Technical, community college, CEGEP, College Classique","Less than $25,000",17
Female,New Brunswick,Above bachelor,"$100,000 to $ 124,999",6
Female,New Brunswick,Above bachelor,"$125,000 and more",20
Female,New Brunswick,Above bachelor,"$25,000 to $49,999",8
Female,New Brunswick,Above bachelor,"$50,000 to $74,999",5
Female,New Brunswick,Above bachelor,"$75,000 to $99,999",8
Female,New Brunswick,Above bachelor,"Less than $25,000",3
Female,New Brunswick,Bachelor's degree,"$100,000 to $ 124,999",22
Female,New Brunswick,Bachelor's degree,"$125,000 and more",35
Female,New Brunswick,Bachelor's degree,"$25,000 to $49,999",12
Female,New Brunswick,Bachelor's degree,"$50,000 to $74,999",21
Female,New Brunswick,Bachelor's degree,"$75,000 to $99,999",19
Female,New Brunswick,Bachelor's degree,"Less than $25,000",5
Female,New Brunswick,Below bachelor,"$100,000 to $ 124,999",9
Female,New Brunswick,Below bachelor,"$125,000 and more",10
Female,New Brunswick,Below bachelor,"$25,000 to $49,999",4
Female,New Brunswick,Below bachelor,"$50,000 to $74,999",4
Female,New Brunswick,Below bachelor,"$75,000 to $99,999",2
Female,New Brunswick,Below bachelor,"Less than $25,000",3
Female,New Brunswick,Below high school,"$100,000 to $ 124,999",5
Female,New Brunswick,Below high school,"$125,000 and more",6
Female,New Brunswick,Below high school,"$25,000 to $49,999",42
